node_id,birthday,education-concentration-id,education-degree-id,education-school-id,education-type,education-year-id,first_name,gender,hometown-id,languages-id,last_name,locale,location-id,name,work-employer-id,work-end_date,work-location-id,work-position-id,work-start_date
573,0,,,318,55,61,,78,,,324,278,84,,,,84,,
574,209,,,237,55,259,,77,84,,,278,84,,,,,,
575,,,,318,55,67,,78,,101,,278,,,,332,,,
576,0,,,247,55,67,,77,,,,278,,,,,,,
577,,,22,228,55,257,,77,84,265,,127,,,,157,,,157
578,1,,,247,55,67,,78,84,,,278,,,,,,,
579,0,,223,319,55,67,,78,84,265,273,126,,,331,,84,301,
580,,,,52,55,,,77,,,273,127,128,,,,,,
581,,,,,,,,78,,,,126,,,,,,,
582,1,,,247,55,67,,78,,,275,278,,,,,,,
583,1,,,228,55,65,,78,84,,,278,84,,,,,,
584,2,,,247,55,71,,77,84,,273,278,,,,,,,
585,,,,247,55,66,,78,,,327,278,,,,,,,
586,,,,,,,,77,,,,127,,,,,,,
587,,216,22,315,54,62,,77,,,273,127,281,,,,,,
373,,216,,52,55,,,77,,,324,127,,,,,,,
465,,,,,,,,78,,,,127,,,,,,,
378,1,15,,52,55,64,,78,,,,278,128,,,,,,
588,,,,247,55,67,,78,,,325,278,,,,,,,
107,,,22,52,54,66,,78,,,273,127,,,,,,,
589,0,,,237,55,67,,78,,,,278,,,,,,,
590,,,,322,55,,,77,84,,275,127,129,,52,,,,
591,209,217,,52,55,,,77,298,,,127,128,,,,,,
592,0,,22,248,55,67,,78,84,265,110,278,,,,,,,
593,3,,,232,55,71,,78,,,,127,,,,,,,
594,2,14,22,52,54,66,,78,,92,,127,,,,,,,
595,1,,,247,55,67,,77,,,,278,,,,,,,
596,,,,,,,,78,,,326,278,,,,,,,
391,1,,,52,54,,,78,,,110,127,128,,,,,,
597,0,,,318,55,67,,78,,,,127,84,,,,,,
394,,312,22,52,54,62,,78,84,265,275,127,128,,,,84,,334
598,0,,,237,55,67,,78,,,,278,,,,,,,
599,,,,247,55,58,,77,,,,278,84,,,157,,,334
400,0,215,223,52,55,67,,78,84,,,127,128,,,,,,
600,0,,,247,53,,,78,,,110,278,,,,,,,
601,0,,222,52,55,59,,,,,,127,128,,,,,,
602,,,,,,,,,,,,,,,,,,,
603,,312,,237,55,67,,78,84,265,,127,,,331,157,84,,157
412,209,,,,,,,77,,,,127,,,,,,,
604,,14,23,52,55,66,,78,84,,110,127,281,,,,297,183,200
605,0,14,,248,55,257,,78,84,,,127,84,,,157,84,301,157
606,,,223,52,55,66,,78,298,,324,127,129,,,157,,,
607,,,,,,,,,,,,,,,,,,,
